id,short_name,full_name,eng_name
840170311016,vh,Village Hall,50TH ST. AND GLENCOE
840170310022,wh,Washington High School,3535 E. 114TH ST 
840170314201,nb,Northbrook Water Plant,750 DUNDEE ROAD
840170310076,ce,Com Ed Maintenance,7801 LAWNDALE
840170317002,wp,Water Plant,561 E. LINCOLN
840170314007,ob,Regional Office Building,9511 W. HARRISON ST
840170314002,cc,Cook County Trailer,1820 S. 51ST AVE.
840170311601,cd,Cook Country Trailer,729 HOUSTON
840170310032,sw,South Water Filtration,3300 E. CHELTENHAM PL.
840170310001,vg,Village Garage,4500 W. 123RD ST.
840170311003,th,TAFT HS,6545 W. HURLBUT ST.